Time,A0C85051515,,A0C85051515,,A0C85051515,,A0C85051515,,A0C85051515,,A0C85051515,
and,Water Temp C,,Turbidity FNU,,Specific Conductivity µS/cm,,pH,,Dissolved Oxygen mg/L,,Chlorophyll µg/L,
Date,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual
6/25/2020 1:30,26.8,1,24.72,1,729,1,7.52,1,1.01,1,8.79,1
6/25/2020 1:45,26.8,1,20.44,1,729,1,7.53,1,1.32,1,8.33,1
6/25/2020 2:00,26.8,1,23.72,1,729,1,7.54,1,1.39,1,8.42,1
6/25/2020 2:15,26.8,1,23.28,1,729,1,7.54,1,1.38,1,8.19,1
6/25/2020 2:30,26.9,1,28.3,1,729,1,7.55,1,1.51,1,8.19,1
6/25/2020 2:45,26.8,1,19.48,1,730,1,7.55,1,1.62,1,8.22,1
6/25/2020 3:00,26.8,1,19.08,1,729,1,7.55,1,1.62,1,8.05,1
6/25/2020 3:15,26.8,1,16.01,1,729,1,7.55,1,1.69,1,8.12,1
6/25/2020 3:30,26.8,1,15.52,1,730,1,7.55,1,1.67,1,7.34,1
6/25/2020 3:45,26.8,1,17.05,1,730,1,7.55,1,1.65,1,7.29,1
6/25/2020 4:00,26.8,1,20.16,1,731,1,7.55,1,1.51,1,8.19,1
6/25/2020 4:15,26.8,1,18.14,1,732,1,7.55,1,1.54,1,7.43,1
6/25/2020 4:30,26.8,1,15.73,1,732,1,7.55,1,1.52,1,7.33,1
6/25/2020 4:45,26.8,1,15.87,1,732,1,7.55,1,1.47,1,10.44,1
6/25/2020 5:00,26.7,1,16.96,1,733,1,7.54,1,1.45,1,7.78,1
6/25/2020 5:15,26.7,1,16.09,1,733,1,7.54,1,1.39,1,8.33,1
6/25/2020 5:30,26.8,1,14.8,1,733,1,7.55,1,1.45,1,9.4,1
6/25/2020 5:45,26.7,1,18.15,1,734,1,7.54,1,1.27,1,10.13,1
6/25/2020 6:00,26.8,1,14.69,1,734,1,7.54,1,1.36,1,9.86,1
6/25/2020 6:15,26.8,1,14.47,1,734,1,7.54,1,1.41,1,9.16,1
6/25/2020 6:30,26.8,1,14.68,1,734,1,7.54,1,1.35,1,9.91,1
